driver_id,vehicle_type,distance_to_pickup_mi,dropoff_distance_mi,delivery_size_lbs,offered_pay_usd,acceptance_rate_7d,acceptance_rate_14d,acceptance_rate_30d,reliability_score,traffic_delay_min,weather_delay_factor,hour_of_day,day_of_week,accepted
driver_000,electric,5.74,10.14,50,14.68,68,66,44,72,33,0.67,2,3,0
driver_000,electric,5.64,8.47,20,22.29,86,66,55,90,44,0.86,13,2,1
driver_000,electric,2.86,14.8,36,13.7,63,60,58,100,14,0.12,19,4,1
driver_000,electric,5.06,13.74,5,8.14,66,51,50,63,26,0.07,11,6,0
driver_000,electric,6.38,7.34,46,23.91,83,77,64,90,2,0.87,3,2,0
driver_000,electric,5.04,9.07,33,9.81,57,53,47,68,33,0.68,18,0,0
driver_000,electric,5.1,2.16,41,22.85,68,46,42,71,36,0.6,18,6,1
driver_000,electric,1.07,7.31,3,19.53,98,90,70,63,32,0.16,7,0,1
driver_000,electric,8.51,4.66,31,12.16,54,49,43,76,0,0.59,15,2,1
driver_000,electric,8.04,2.72,38,14.63,100,95,74,68,2,0.52,16,2,1
driver_000,electric,7.51,12.55,28,19.07,75,72,48,91,15,0.11,15,3,1
driver_000,electric,9.25,11.52,41,14.91,55,51,43,76,12,0.19,3,2,0
driver_000,electric,8.18,8.03,35,12.87,51,50,45,79,41,0.34,23,5,0
driver_000,electric,1.62,9.52,15,22.9,85,76,47,94,18,0.4,22,0,0
driver_000,electric,7.31,6.91,16,22.34,55,53,41,62,10,0.05,19,1,1
driver_000,electric,4.71,3.94,10,20.07,83,72,41,93,24,0.71,9,3,1
driver_000,electric,3.14,1.02,46,24.34,58,47,40,97,2,0.48,13,1,1
driver_000,electric,1.6,8.76,13,23.93,96,65,63,93,11,0.6,13,5,1
driver_000,electric,4.39,11.83,34,8.49,50,49,44,98,11,0.92,2,5,0
driver_000,electric,9.62,4.61,12,10.76,99,93,60,68,1,0.99,8,2,0
driver_000,electric,3.85,11.66,49,23.17,87,63,49,85,9,0.65,22,5,1
driver_000,electric,7.09,5.93,39,24.4,59,45,44,94,13,0.04,23,5,1
driver_000,electric,1.19,12.66,22,13.46,98,90,81,72,2,0.16,1,4,1
driver_000,electric,4.4,5.3,46,24.21,82,75,58,100,4,0.57,22,3,1
driver_000,electric,5.99,3.61,7,8.94,82,72,54,81,19,0.35,7,6,0
driver_000,electric,0.58,6.62,42,13.34,60,60,44,81,31,0.13,5,1,1
driver_000,electric,1.03,4.66,44,22.25,82,46,41,68,14,0.2,23,0,1
driver_000,electric,9.5,4.22,39,22.04,98,83,80,75,12,0.24,1,0,1
driver_000,electric,9.15,10.69,9,10.17,51,51,45,97,13,0.32,20,0,0
driver_000,electric,1.94,13.36,32,10.43,93,66,46,86,28,0.92,11,5,1
driver_000,electric,5.51,11.33,16,21.85,54,52,46,61,22,0.91,0,0,0
driver_000,electric,4.52,11.58,8,20.69,83,57,47,69,6,0.8,10,6,1
driver_000,electric,0.59,5.84,27,18.97,74,56,47,84,43,0.4,22,6,1
driver_000,electric,4.06,2.03,14,15.57,73,55,42,75,0,0.41,15,6,1
driver_000,electric,8.79,3.59,17,12.64,74,48,42,92,15,0.45,7,4,1
driver_000,electric,5.23,1.96,31,19.62,87,69,40,63,29,0.39,15,3,1
driver_000,electric,9.75,9.04,23,21.93,87,70,57,71,24,0.08,21,3,1
driver_000,electric,3.65,12.76,36,20.2,64,61,58,96,10,0.13,2,6,1
driver_000,electric,3.98,8.25,7,13.03,64,52,42,66,12,0.86,12,4,1
driver_000,electric,6.36,8.87,3,19.61,86,57,51,78,36,0.54,9,5,1
driver_000,electric,2.39,13.28,48,24.41,83,59,45,60,4,0.87,1,6,1
driver_000,electric,6.8,6.53,40,11.33,60,48,48,70,24,0.34,7,0,0
driver_000,electric,4.93,12.08,40,13.76,96,79,51,77,30,0.39,16,6,0
driver_000,electric,0.88,4.79,12,9.39,67,51,47,62,41,0.55,4,3,0
driver_000,electric,8.82,1.42,32,19.36,96,48,40,95,39,0.7,5,1,1
driver_000,electric,2.53,1.05,23,17.22,58,50,47,98,26,0.74,23,2,1
driver_000,electric,5.23,5.4,33,22.69,94,89,49,69,45,0.7,8,2,1
driver_000,electric,1.97,12.48,4,8.82,73,64,59,74,44,0.89,11,2,0
driver_000,electric,1.62,3.18,18,14.11,84,67,63,77,0,0.46,13,6,1
driver_000,electric,3.64,4.94,14,11.01,85,74,40,81,0,0.06,2,3,1
driver_000,electric,1.2,14.85,2,8.73,63,54,42,83,36,0.7,16,2,0
driver_000,electric,7.12,1.16,21,12.06,81,58,54,72,4,0.91,14,5,0
driver_000,electric,1.98,12.39,23,20.1,99,61,45,74,42,0.92,9,6,1
driver_000,electric,4.51,14.58,9,10.97,80,52,47,73,15,0.88,9,6,1
driver_000,electric,4.65,9.28,34,11.74,92,45,41,76,24,0.93,3,4,0
driver_000,electric,9.0,6.39,6,23.54,55,49,42,82,35,0.79,17,1,1
driver_000,electric,2.41,12.53,30,21.75,55,45,45,69,42,0.88,17,0,1
driver_000,electric,4.85,11.49,9,12.7,71,62,56,69,18,0.33,13,3,1
driver_000,electric,5.1,6.22,18,21.29,59,50,48,68,8,0.94,6,1,1
driver_000,electric,4.58,1.05,23,8.28,63,54,47,85,15,0.36,17,1,1
driver_000,electric,6.29,2.57,44,17.79,87,83,64,65,26,0.69,13,5,1
driver_000,electric,5.48,14.16,10,12.36,57,53,49,76,10,0.98,4,1,1
driver_000,electric,6.6,11.79,11,14.8,92,62,62,99,34,0.98,3,2,1
driver_000,electric,7.61,7.95,18,9.86,89,45,44,61,30,0.51,8,2,1
driver_000,electric,2.81,3.17,38,15.31,88,68,48,85,17,0.9,8,4,0
driver_000,electric,8.71,12.82,10,15.63,72,71,58,91,23,0.29,0,6,1
driver_000,electric,6.51,10.24,27,14.81,89,61,40,98,33,0.3,19,3,1
driver_000,electric,3.05,4.52,20,14.29,71,62,58,81,11,0.49,18,0,1
driver_000,electric,5.99,5.07,34,14.7,85,85,76,74,21,0.55,20,2,0
driver_000,electric,7.35,2.35,24,15.1,72,49,47,60,18,0.36,0,0,0
driver_000,electric,6.94,0.64,5,10.72,59,53,43,93,39,0.93,6,5,1
driver_000,electric,8.72,14.41,16,10.96,97,84,44,86,35,0.22,1,4,1
driver_000,electric,4.13,7.1,32,15.56,65,65,41,63,9,0.54,21,4,0
driver_000,electric,1.75,14.29,42,22.67,72,71,45,74,42,0.94,10,3,0
driver_000,electric,3.07,4.51,20,8.86,52,49,44,93,24,0.39,7,6,1
driver_000,electric,7.13,0.59,5,11.58,80,63,43,86,0,0.13,5,5,1
driver_000,electric,5.84,9.22,20,21.01,72,71,40,66,22,0.39,13,1,0
driver_000,electric,9.73,11.44,24,11.98,54,48,43,63,26,0.48,21,2,0
driver_000,electric,1.42,6.07,23,10.97,55,48,46,97,26,0.89,2,3,1
driver_000,electric,7.39,14.43,8,17.39,89,79,54,88,3,0.07,12,3,1
driver_000,electric,9.83,12.73,21,9.04,92,72,70,69,38,0.93,3,6,1
driver_000,electric,8.38,11.39,50,8.64,73,53,53,68,33,0.64,11,4,0
driver_000,electric,1.72,4.35,44,24.39,63,46,41,72,21,0.5,10,6,1
driver_000,electric,8.45,1.82,38,13.89,53,48,48,97,21,0.28,20,6,0
driver_000,electric,6.19,9.44,15,15.6,58,51,47,85,19,0.78,17,1,0
driver_000,electric,9.97,10.87,33,11.68,73,66,60,71,10,0.97,21,1,1
driver_000,electric,4.99,2.4,21,15.81,54,48,44,76,25,0.76,8,5,0
driver_000,electric,0.65,2.98,35,19.5,66,59,45,90,18,0.48,2,5,1
driver_000,electric,5.58,4.0,42,9.51,88,74,47,63,8,0.7,3,3,1
driver_000,electric,7.52,6.56,48,15.23,91,46,41,84,20,0.18,2,2,1
driver_000,electric,2.22,4.38,12,16.55,80,78,77,78,40,0.94,12,5,1
driver_000,electric,4.44,1.75,26,20.39,99,85,57,78,45,0.16,18,0,1
driver_000,electric,6.26,14.18,41,11.74,77,72,47,76,26,0.45,15,6,1
driver_000,electric,4.78,14.87,29,9.7,83,47,41,76,24,0.11,8,5,1
driver_000,electric,0.2,0.96,14,9.95,89,68,65,69,9,0.73,16,3,0
driver_000,electric,5.55,12.49,43,19.05,91,70,64,77,8,0.18,18,4,1
driver_000,electric,5.17,4.3,31,20.96,76,45,41,77,9,0.68,11,3,0
driver_000,electric,4.22,8.46,41,18.58,87,52,46,72,44,0.21,13,3,1
driver_000,electric,4.72,11.79,48,12.01,62,62,41,60,21,0.55,15,4,0
driver_000,electric,0.87,4.37,24,20.29,98,95,85,94,25,0.32,8,1,1
driver_000,electric,9.67,6.24,38,16.64,79,77,76,89,9,0.13,7,4,1
driver_000,electric,5.56,5.54,50,23.27,55,45,42,92,45,0.81,17,5,1
driver_000,electric,5.17,5.99,4,14.63,59,57,45,85,5,0.94,22,0,0
driver_000,electric,2.24,12.96,39,20.97,76,56,52,63,33,0.04,20,1,1
driver_000,electric,2.87,3.79,49,17.6,76,62,59,79,37,0.82,8,2,1
driver_000,electric,1.19,4.85,24,20.65,83,76,75,81,13,0.1,10,6,1
driver_000,electric,3.7,12.97,16,23.07,51,46,46,64,34,0.82,15,6,0
driver_000,electric,9.79,1.75,12,18.48,95,75,49,71,43,0.44,13,3,0
driver_000,electric,2.81,7.13,29,9.96,73,59,57,74,4,0.11,20,1,0
driver_000,electric,9.33,7.15,32,23.61,51,46,45,88,16,0.32,18,1,1
driver_000,electric,5.41,12.03,13,18.38,59,53,41,68,36,0.3,1,5,1
driver_000,electric,1.73,2.25,14,18.05,97,93,63,98,11,0.17,22,3,1
driver_000,electric,0.15,13.08,16,24.9,58,53,45,93,15,0.06,17,4,1
driver_000,electric,5.82,4.38,38,23.79,98,60,60,64,11,0.95,4,1,1
driver_000,electric,7.13,11.13,15,20.5,83,55,48,81,17,0.9,19,1,1
driver_000,electric,6.66,2.02,12,14.09,56,50,42,95,16,0.48,7,5,1
driver_000,electric,9.16,2.16,40,14.82,62,55,47,100,6,0.59,21,2,1
driver_000,electric,4.72,2.96,42,24.38,82,66,62,87,9,0.66,18,1,1
driver_000,electric,8.57,11.39,5,21.93,76,59,57,95,22,0.09,7,5,0
driver_000,electric,6.03,5.05,13,8.44,93,85,81,75,22,0.2,22,1,1
driver_000,electric,6.07,8.65,8,15.11,52,48,48,87,20,0.82,8,3,0
driver_000,electric,3.11,2.29,38,17.18,50,47,43,81,19,0.13,12,6,1
driver_000,electric,0.27,12.18,45,10.5,83,47,46,64,29,0.67,18,6,0
driver_000,electric,9.78,1.97,26,11.33,74,70,63,86,26,0.76,22,1,0
driver_000,electric,0.56,4.69,31,18.54,65,46,40,87,38,0.87,4,5,1
driver_000,electric,3.75,4.32,15,8.77,90,68,54,76,32,0.72,23,1,1
driver_000,electric,2.77,10.8,24,24.26,95,80,64,79,39,0.46,10,4,1
driver_000,electric,2.72,7.28,49,17.23,73,59,48,66,40,0.58,18,0,0
driver_000,electric,4.21,4.5,45,20.97,82,80,61,85,34,0.23,15,5,1
driver_000,electric,7.52,10.44,36,15.91,100,64,55,85,20,0.54,16,1,1
driver_000,electric,2.51,6.1,39,11.3,72,65,40,95,2,0.17,14,3,0
driver_000,electric,8.32,9.87,42,23.76,86,52,42,80,19,0.91,0,6,1
driver_000,electric,2.17,9.03,49,16.58,85,52,42,74,38,0.71,18,2,1
driver_000,electric,9.03,1.02,5,9.62,70,48,41,72,7,0.27,11,4,1
driver_000,electric,4.13,1.34,4,24.53,50,50,47,62,24,0.89,10,3,1
driver_000,electric,7.25,8.63,45,19.12,88,80,71,91,15,0.41,17,5,1
driver_000,electric,5.29,8.64,11,9.07,99,94,48,71,23,0.98,23,6,0
driver_000,electric,4.92,2.79,21,18.14,72,53,44,94,24,0.64,7,4,1
driver_000,electric,1.54,3.08,25,14.57,91,74,45,78,22,0.95,9,0,1
driver_000,electric,8.25,11.53,43,14.62,68,45,41,80,41,0.86,10,3,1
driver_000,electric,1.21,13.6,43,13.0,53,50,40,99,4,0.28,18,4,1
driver_000,electric,5.95,10.25,39,12.55,53,51,50,69,40,0.22,22,2,0
driver_000,electric,6.08,6.5,42,8.56,83,57,45,61,25,0.52,13,4,0
driver_000,electric,0.55,14.5,19,8.2,64,53,44,96,37,0.58,23,5,1
driver_000,electric,5.27,2.98,32,12.16,65,61,42,93,33,0.26,2,4,0
driver_000,electric,1.54,9.71,2,8.89,70,69,40,76,14,0.69,3,4,0
driver_000,electric,4.61,10.55,42,12.99,79,62,46,80,24,0.78,10,1,0
driver_000,electric,5.33,0.62,44,9.28,60,56,51,73,17,0.01,15,5,0
driver_000,electric,6.71,12.54,46,21.68,51,46,43,99,42,0.58,0,3,1
driver_000,electric,7.39,2.89,3,8.65,78,70,45,65,35,0.94,8,6,1
driver_000,electric,8.95,12.26,41,10.53,50,50,48,99,7,0.58,13,2,0
driver_000,electric,2.52,14.8,3,11.94,58,50,43,96,42,0.15,3,6,1
driver_000,electric,9.13,8.51,29,22.14,59,45,43,69,35,0.91,19,3,1
driver_000,electric,9.66,13.32,42,17.06,86,55,40,97,11,0.89,16,0,1
driver_000,electric,7.93,4.34,17,15.09,78,63,51,63,6,0.43,9,5,1
driver_000,electric,9.2,6.33,18,16.65,82,59,43,75,36,0.24,14,2,1
driver_000,electric,4.28,12.69,45,23.79,74,56,56,96,26,0.29,0,2,1
driver_000,electric,0.33,13.48,26,19.56,92,54,44,90,35,0.66,13,0,1
driver_000,electric,0.91,14.82,44,13.16,94,70,55,86,42,0.05,6,4,1
driver_000,electric,5.95,11.89,2,20.51,100,57,52,73,3,0.86,5,1,1
driver_000,electric,5.26,13.14,42,21.02,69,67,63,89,39,0.59,0,1,0
driver_000,electric,1.99,13.74,50,10.65,76,52,51,93,42,0.48,13,0,0
driver_000,electric,1.31,5.55,6,9.34,81,67,60,80,4,0.55,6,2,0
driver_000,electric,2.51,14.71,46,13.89,95,81,72,77,24,0.97,3,3,1
driver_000,electric,4.23,11.72,31,13.32,85,74,62,76,34,0.67,21,0,0
driver_000,electric,3.77,13.1,11,20.28,50,49,41,95,5,0.43,5,1,1
driver_000,electric,6.48,10.59,47,24.6,95,76,41,80,20,0.92,1,3,1
driver_000,electric,1.06,0.53,4,10.4,81,73,55,91,10,0.54,1,2,1
driver_000,electric,4.16,0.95,24,16.04,88,74,70,63,36,0.42,15,5,1
driver_000,electric,3.85,1.79,31,23.73,78,61,41,79,34,0.15,4,1,1
driver_000,electric,6.93,6.35,14,21.35,66,50,41,94,44,0.22,14,4,1
driver_000,electric,6.0,4.71,5,24.75,79,72,61,96,23,0.36,1,0,0
driver_000,electric,7.13,8.18,35,21.07,75,65,52,82,5,0.58,17,5,1
driver_000,electric,2.51,7.91,3,21.95,84,57,49,89,15,0.72,13,3,1
driver_000,electric,8.0,10.26,45,20.68,95,57,52,85,25,0.29,7,0,1
driver_000,electric,0.95,14.44,41,19.16,60,54,49,96,42,0.19,23,2,1
driver_000,electric,7.49,5.26,32,13.3,75,62,44,98,23,0.65,12,6,1
driver_000,electric,8.95,7.74,30,18.01,67,48,45,95,2,0.3,22,3,0
driver_000,electric,1.55,13.56,31,11.91,57,52,44,95,18,0.08,3,0,1
driver_000,electric,4.88,14.68,26,19.98,91,88,52,95,14,0.6,17,2,0
driver_000,electric,9.11,5.46,46,12.16,75,72,51,76,39,0.28,10,6,1
driver_000,electric,9.21,0.51,23,19.34,84,66,61,91,22,0.95,12,4,0
driver_000,electric,8.33,12.96,36,16.47,97,49,44,96,1,0.5,3,1,0
driver_000,electric,6.93,9.5,17,16.35,58,45,42,70,6,0.94,13,4,1
driver_000,electric,2.82,10.51,45,13.57,96,89,48,79,4,0.17,17,4,1
driver_000,electric,4.98,5.09,34,13.9,53,47,46,96,14,0.33,10,0,1
driver_000,electric,2.66,14.74,13,15.65,72,67,56,97,17,0.88,7,4,1
driver_000,electric,0.46,1.26,45,19.19,68,60,42,67,43,0.28,13,4,0
driver_000,electric,3.92,12.85,13,17.84,81,45,41,70,27,0.07,5,4,1
driver_000,electric,2.17,14.77,47,18.57,55,45,43,86,16,0.58,8,4,1
driver_000,electric,9.41,6.58,17,11.09,78,55,45,75,11,0.67,17,4,1
driver_000,electric,5.88,5.41,18,22.13,85,62,58,100,14,0.19,19,3,1
driver_000,electric,2.54,11.09,38,10.19,53,53,40,79,18,0.51,3,3,1
driver_000,electric,8.49,8.41,4,20.33,78,63,63,79,10,0.29,11,3,1
driver_000,electric,1.47,1.48,39,17.39,58,54,47,71,21,0.17,20,0,1
driver_000,electric,3.19,12.68,39,12.26,74,71,42,81,26,0.28,2,1,1
driver_000,electric,4.3,7.13,16,24.16,59,54,47,67,21,0.52,19,4,1
driver_000,electric,4.9,0.75,31,20.56,92,48,40,100,34,0.09,17,3,1
driver_000,electric,0.93,3.65,20,14.59,92,62,58,76,9,0.25,20,3,1
driver_000,electric,1.44,9.76,38,21.8,64,48,41,90,20,0.3,5,1,1
driver_000,electric,3.73,11.75,49,21.26,51,49,41,76,19,0.02,23,2,1
driver_000,electric,8.69,4.78,43,16.58,94,88,71,78,22,0.37,18,2,1
driver_000,electric,6.57,11.4,15,11.22,64,46,44,80,34,0.99,21,4,1
driver_000,electric,2.33,6.58,24,17.44,91,77,48,99,3,0.51,20,5,1
driver_000,electric,7.24,13.63,7,16.53,75,65,50,81,0,0.78,21,4,1
driver_000,electric,4.42,9.3,46,20.39,55,46,45,63,6,0.98,11,4,1
driver_000,electric,6.12,7.93,27,16.55,80,53,49,80,24,0.81,22,2,0
driver_000,electric,7.27,2.53,39,18.83,57,53,40,69,29,0.54,13,6,1
driver_000,electric,0.77,14.88,20,14.87,80,47,45,97,19,0.44,20,5,1
driver_000,electric,6.23,2.99,41,16.83,70,70,46,88,34,0.91,9,0,0
driver_000,electric,4.29,4.5,16,18.78,69,57,53,88,18,0.94,14,4,1
driver_000,electric,5.06,7.77,28,17.85,61,53,45,88,35,0.58,14,6,0
driver_000,electric,7.61,4.63,22,19.78,51,48,48,95,7,0.73,3,3,0
driver_000,electric,4.68,6.45,11,22.64,59,46,44,62,41,0.1,14,4,1
driver_000,electric,7.35,7.45,28,11.14,68,61,52,66,11,0.1,8,4,0
driver_000,electric,1.32,7.13,48,14.7,52,50,47,85,33,0.87,4,3,0
driver_000,electric,8.87,10.99,31,15.22,78,69,59,87,37,0.19,8,2,1
driver_000,electric,6.11,0.63,7,23.11,81,72,60,90,35,0.68,12,4,1
driver_000,electric,3.15,13.96,44,22.79,53,49,45,78,21,0.58,8,0,1
driver_000,electric,0.37,2.99,8,19.7,67,55,47,96,2,0.49,3,3,0
driver_000,electric,8.59,13.56,4,17.21,92,49,40,78,32,0.68,23,0,1
driver_000,electric,0.71,7.9,37,18.54,100,99,81,63,41,0.69,16,3,1
driver_000,electric,0.6,6.12,23,21.36,92,83,55,99,13,0.69,9,5,0
driver_000,electric,4.91,14.75,29,10.41,98,89,63,76,19,0.01,4,3,0
driver_000,electric,3.08,6.79,8,12.67,77,62,40,80,38,0.41,1,1,0
driver_000,electric,8.76,6.59,29,22.0,69,53,50,89,27,0.59,0,0,1
driver_000,electric,7.43,1.77,47,24.51,89,76,67,94,19,0.03,5,2,1
driver_000,electric,5.4,10.83,32,18.59,53,51,46,81,27,0.88,6,0,0
driver_000,electric,3.6,0.92,8,15.19,65,62,43,96,22,0.17,13,3,0
driver_000,electric,8.35,1.63,24,18.86,71,67,59,100,13,0.78,14,4,1
driver_000,electric,3.4,12.51,16,14.85,61,45,43,82,10,0.03,1,0,1
driver_000,electric,0.9,3.3,15,9.02,100,66,48,98,0,0.74,15,3,1
driver_000,electric,1.34,11.97,14,20.46,100,58,55,64,8,0.15,18,1,1
driver_000,electric,1.3,1.89,18,14.41,88,53,52,83,35,0.09,14,3,1
driver_000,electric,5.54,2.26,33,20.73,55,45,42,95,41,0.23,15,4,1
driver_000,electric,6.77,11.95,34,8.83,98,69,51,95,44,0.92,12,4,1
driver_000,electric,6.25,4.01,31,10.81,63,54,47,86,37,0.86,4,3,0
driver_000,electric,4.17,2.06,17,8.05,94,48,45,91,31,0.31,1,2,1
driver_000,electric,1.87,9.18,42,9.79,90,84,63,82,24,0.33,14,3,1
driver_000,electric,1.71,3.14,43,9.24,100,79,54,74,20,1.0,0,2,0
driver_000,electric,9.04,12.54,4,20.42,72,45,43,62,19,0.37,19,1,1
driver_000,electric,1.01,10.71,26,13.01,58,58,47,63,40,0.35,17,4,1
driver_000,electric,9.6,4.62,19,9.57,81,68,65,98,2,0.68,3,2,0
driver_000,electric,8.28,4.51,7,23.8,98,64,45,81,37,0.38,4,0,1
driver_000,electric,3.72,6.83,4,11.92,90,47,45,69,14,0.89,15,4,1
driver_000,electric,0.72,14.43,5,15.06,92,51,45,62,20,0.9,20,5,1
driver_000,electric,1.95,10.73,20,12.32,62,47,41,90,35,0.1,2,2,1
driver_000,electric,2.08,5.73,13,13.87,72,49,42,82,0,0.96,18,6,1
driver_000,electric,6.57,4.08,2,21.51,64,48,48,67,17,0.43,6,5,0
driver_000,electric,1.76,9.35,17,22.87,100,79,75,91,33,0.41,1,4,0
driver_000,electric,8.31,14.8,15,24.85,68,63,61,68,3,0.48,18,1,1
driver_000,electric,2.43,14.8,26,9.17,59,56,42,69,24,0.63,8,4,1
driver_000,electric,5.86,3.64,23,21.56,60,58,51,85,9,0.38,20,1,1
driver_000,electric,0.75,10.64,46,17.85,94,55,55,64,25,0.48,17,3,1
driver_000,electric,3.16,11.47,6,9.83,79,56,47,71,9,0.58,8,1,1
driver_000,electric,4.0,2.02,7,11.64,60,47,44,87,7,0.91,2,1,0
driver_000,electric,3.79,10.45,22,19.23,87,77,76,67,26,0.46,14,1,1
driver_000,electric,6.44,11.62,39,16.42,98,87,78,98,22,0.09,7,5,1
driver_000,electric,6.15,4.39,29,9.86,59,48,43,79,10,0.06,9,3,1
driver_000,electric,5.53,2.54,28,18.5,78,77,67,74,21,0.94,5,6,1
driver_000,electric,7.28,1.76,29,16.68,71,65,59,91,25,0.51,23,1,1
driver_000,electric,2.62,1.69,30,15.18,50,45,40,96,37,0.76,16,5,1
driver_000,electric,6.08,12.42,40,23.55,96,95,42,72,31,0.22,23,0,1
driver_000,electric,2.73,10.59,14,17.01,97,52,48,65,24,0.99,1,6,0
driver_000,electric,6.74,2.58,17,16.46,61,49,49,70,43,0.42,11,6,1
driver_000,electric,7.28,10.47,9,23.11,56,53,42,69,30,0.06,8,2,1
driver_000,electric,9.38,10.38,13,24.89,69,48,46,93,33,0.47,5,2,1
driver_000,electric,4.28,1.97,23,19.0,59,54,42,67,15,0.23,3,5,1
driver_000,electric,6.68,1.12,26,15.35,82,47,45,75,17,0.59,7,4,1
driver_000,electric,1.14,6.81,8,8.08,53,53,47,94,21,0.15,4,0,1
driver_000,electric,5.14,0.72,47,8.04,90,70,63,67,20,0.51,14,1,1
driver_000,electric,4.55,14.01,25,10.6,54,49,43,88,21,0.21,12,1,1
driver_000,electric,6.73,12.15,9,11.38,79,77,68,90,1,0.65,12,1,1
driver_000,electric,2.03,8.84,33,19.08,85,58,47,94,40,0.4,16,3,1
driver_000,electric,1.13,8.16,2,14.2,72,62,57,87,6,0.92,19,6,1
driver_000,electric,1.8,8.86,14,19.21,71,58,58,68,40,0.96,7,3,0
driver_000,electric,5.24,7.39,25,21.03,98,95,72,70,39,0.33,6,1,0
driver_000,electric,8.86,11.95,5,12.81,79,71,55,79,23,0.67,4,6,1
driver_000,electric,1.24,10.37,42,12.54,100,58,58,99,1,0.42,2,6,0
driver_000,electric,8.4,12.88,29,13.78,79,60,48,60,3,0.97,2,4,1
driver_000,electric,3.72,9.76,31,10.26,81,70,50,76,19,0.14,4,3,0
driver_000,electric,9.87,3.68,38,9.41,90,85,40,88,7,0.08,14,5,1
driver_000,electric,1.51,8.36,26,21.85,57,49,49,70,27,0.9,18,2,0
driver_000,electric,5.72,3.45,8,23.94,59,55,49,70,17,0.36,15,2,0
driver_000,electric,0.94,10.03,16,12.57,68,52,49,89,18,0.02,4,6,1
driver_000,electric,7.77,8.89,39,21.1,55,46,45,100,12,0.98,23,4,1
driver_000,electric,5.51,5.11,17,10.59,83,47,45,80,26,0.61,18,1,1
driver_000,electric,0.31,9.14,3,13.28,70,67,57,100,0,0.8,7,3,1
driver_000,electric,0.76,1.26,12,9.39,53,48,40,85,44,0.8,10,4,0
driver_000,electric,2.4,5.88,38,8.92,81,69,41,74,43,0.41,2,5,1
driver_000,electric,1.01,7.16,3,16.18,85,82,59,74,16,0.63,7,4,1
driver_000,electric,7.42,9.75,44,15.49,91,74,71,62,3,0.99,17,3,0
driver_000,electric,9.74,12.54,2,19.8,69,46,42,96,12,0.04,17,5,0
driver_000,electric,0.64,12.71,40,22.42,96,76,62,63,43,0.92,19,0,0
driver_000,electric,4.96,4.9,31,24.88,70,62,49,94,15,0.23,16,2,1
